SH,DOD_SOL,DOD_MOL,DOD_NAN,SOL_SIL,SOL_MOL,SIL_MOL,SIL_NAN,MOL_NAN,SOL_NAN,SIL_DOD,d_DOD_SIL,rdf_peaks,rdf_dist,Frac_det,Surf_length,Nano_hydro
25,-2502.685723,-11.97639665,-335.6313403,-78448.12317,-44644.4201,15711.25307,-36180.7808,-206.1649727,-2926.460254,-1259.929169,39.39773111,1.477,0.462,0.61,5,50
25,-3010.744459,-5.354514782,-367.4510549,-79907.26782,-43433.81354,15414.03782,-27246.71707,-274.1351561,-2455.807807,-1119.609746,179.7171543,1.421,0.464,0.53,5,75
25,-2756.45213,-9.796312266,-401.8768069,-79952.7076,-42563.92265,14754.06747,-18888.94033,0.013179387,-2673.52696,-1036.47592,262.8509799,1.441,0.464,0.67,5,100
25,-2446.348099,-31.65709299,-47.77075583,-79625.99292,-46588.8268,16657.05706,-54034.03646,-586.6643158,-4492.947997,-1461.27754,-161.9506401,1.676,0.458,0.52,6,0
25,-3041.096481,-10.28809615,-254.4009899,-81360.66587,-49032.77088,16129.57845,-44910.6107,-2.666948298,-4064.659231,-1153.647701,145.6791994,1.717,0.468,0.61,6,25
25,-2419.585831,-4.18034396,-102.3095737,-80789.81569,-48587.46652,16220.15159,-35701.40644,-420.2861957,-3508.033398,-1628.405493,-329.0785934,1.685,0.466,0.47,6,50
25,-2781.369404,-19.55856873,-402.3519731,-78924.70974,-49327.12799,16163.24573,-27303.75368,-5.726853718,-2763.282753,-1548.650797,-249.3238973,1.677,0.47,0.53,6,75
25,-2316.289067,-10.36784869,-409.8444367,-80954.23653,-46152.04026,16097.09554,-18806.81719,-0.340680137,-2649.797826,-1363.678397,-64.35149713,1.623,0.47,0.57,6,100
50,-2988.930374,-1976.309618,-64.69489548,-55245.49522,-8011.748777,-1688.717247,-53651.27232,-241.4862316,-4868.016549,-1766.102596,71.16544301,2.152,0.496,0.46,3,0
50,-3054.814047,-1801.919224,-136.3124356,-53532.84049,-8030.352862,-1641.507606,-44904.19878,-292.6081586,-3970.446947,-1839.761029,-2.492990286,2.091,0.47,0.47,3,25
50,-2921.38026,-1737.459792,-230.4620817,-53125.89271,-8046.522681,-2165.320782,-35806.18291,-188.7174418,-3304.52249,-1699.988222,137.2798173,2.14,0.462,0.49,3,50
50,-2603.446585,-1660.417786,-139.6617231,-53137.28257,-8105.048064,-1878.546975,-27102.68378,-129.5518962,-3100.647772,-1740.138167,97.12987183,2.07,0.482,0.56,3,75
50,-3042.532366,-1688.509571,-404.3316117,-54488.37998,-8107.546997,-1746.960062,-19010.88757,-71.42319984,-2308.861582,-1957.930662,-120.6626232,2.182,0.454,0.41,3,100
50,-2784.764809,-1669.959082,-106.1794775,-53250.08243,-7663.234511,-1562.017644,-53836.1379,-584.0360355,-4125.519059,-1797.466152,39.8018875,2.131,0.486,0.59,4,0
50,-2781.363897,-1950.624171,-167.5258553,-54082.90734,-7629.199733,-1522.740828,-44814.56013,-452.459451,-3845.264942,-1783.666469,53.60156979,2.141,0.474,0.52,4,25
50,-3050.835967,-1859.366317,-219.4470623,-54182.0511,-7915.716214,-1535.220282,-35803.92238,-123.9551199,-3521.019666,-1804.821934,32.44610563,2.17,0.462,0.49,4,50
50,-3083.322014,-1797.884686,-283.0995065,-53848.97947,-7893.026712,-1520.774551,-27382.91088,-160.7681434,-2746.518228,-1798.646484,38.62155543,2.185,0.486,0.5,4,75
50,-2979.239745,-1803.893072,-326.1435829,-53160.61175,-7583.357012,-1745.690959,-18717.76275,-244.7310252,-2360.907993,-1847.640679,-10.37264025,2.224,0.476,0.49,4,100
50,-2882.910539,-6.865356032,-62.91496404,-57387.76811,-44724.80256,15098.2627,-53828.30508,-875.3430624,-4231.295843,-1741.797284,95.47075533,2.158,0.478,0.64,5,0
50,-2514.361261,-22.36082471,-332.6069743,-59101.34939,-45546.90425,15184.83104,-44821.2779,-540.804441,-3539.254223,-1702.214129,135.0539105,2.049,0.488,0.65,5,25
50,-2690.452143,-15.19881494,-334.1108015,-59095.00631,-45958.72426,14793.79772,-35757.19884,-406.0854574,-3277.754064,-1729.545749,107.72229,2.056,0.456,0.57,5,50
50,-2861.25774,-3.414327444,-420.8328662,-59130.07996,-43982.93236,14792.79014,-27284.41129,0,-2823.096271,-1807.177181,30.09085826,2.172,0.488,0.63,5,75
50,-3231.70675,-5.596663907,-396.3407489,-57358.42262,-43434.88878,14909.14954,-19036.25191,-0.000993119,-2271.506718,-1838.722163,-1.454123377,2.272,0.476,0.6,5,100
50,-3267.866953,-21.18455894,-136.6482145,-58667.52036,-49292.02706,16505.01599,-53769.64781,-858.2838629,-4387.800928,-1717.846661,119.4213787,2.098,0.482,0.64,6,0
